dataset,model,distribution_noise,label_noise,sample_size,coverage_mean,coverage_std,avg_set_size_mean,accuracy_mean,coverage_gap_mean
breast_cancer,random_forest,0.0,0.3,full,0.9140350877192983,0.053501581340269846,1.0473684210526317,0.887719298245614,0.014035087719298223
breast_cancer,random_forest,0.1,0.0,full,0.9157894736842105,0.030764347222368756,0.9298245614035088,0.9631578947368421,0.015789473684210485
breast_cancer,random_forest,0.2,0.0,full,0.9017543859649123,0.03126057838807984,0.9157894736842106,0.9543859649122807,0.001754385964912264
breast_cancer,random_forest,0.5,0.0,full,0.8421052631578947,0.04067376533112147,0.8578947368421053,0.9491228070175438,-0.05789473684210531
breast_cancer,random_forest,1.0,0.0,full,0.6649122807017543,0.09912668832643262,0.6894736842105263,0.9070175438596492,-0.23508771929824562
wine_binary,gradient_boosting,0.0,0.0,100,0.9388888888888889,0.03621779114001472,1.0777777777777777,0.9388888888888889,0.03888888888888884
wine_binary,gradient_boosting,0.0,0.0,500,0.9277777777777777,0.04212708580028644,1.05,0.95,0.027777777777777724
wine_binary,gradient_boosting,0.0,0.0,1000,0.9277777777777777,0.04212708580028644,1.05,0.95,0.027777777777777724
wine_binary,gradient_boosting,0.0,0.0,full,0.9277777777777777,0.039002102778748035,1.05,0.95,0.027777777777777724
wine_binary,gradient_boosting,0.0,0.1,full,0.9444444444444444,0.04392052305789418,1.027777777777778,0.9444444444444444,0.0444444444444444
wine_binary,gradient_boosting,0.0,0.2,full,0.9388888888888889,0.0795434503515353,1.2333333333333332,0.8833333333333334,0.03888888888888886
wine_binary,gradient_boosting,0.0,0.3,full,0.9388888888888889,0.060220787190774415,1.3333333333333333,0.8,0.03888888888888886
wine_binary,gradient_boosting,0.1,0.0,full,0.9222222222222222,0.04969039949999535,1.038888888888889,0.9444444444444444,0.02222222222222219
wine_binary,gradient_boosting,0.2,0.0,full,0.9333333333333332,0.05760122598146588,1.0555555555555556,0.9388888888888889,0.033333333333333305
wine_binary,gradient_boosting,0.5,0.0,full,0.85,0.0847108371220939,1.0166666666666666,0.8777777777777779,-0.050000000000000024
wine_binary,gradient_boosting,1.0,0.0,full,0.7611111111111111,0.13693063937629157,0.9944444444444445,0.7944444444444445,-0.13888888888888892
wine_binary,logistic_regression,0.0,0.0,100,0.9555555555555555,0.042127085800286415,0.9944444444444445,0.9666666666666666,0.05555555555555551
wine_binary,logistic_regression,0.0,0.0,500,0.9555555555555555,0.042127085800286415,0.9944444444444445,0.9722222222222221,0.05555555555555551
wine_binary,logistic_regression,0.0,0.0,1000,0.9555555555555555,0.042127085800286415,0.9944444444444445,0.9722222222222221,0.05555555555555551
wine_binary,logistic_regression,0.0,0.0,full,0.9555555555555555,0.039002102778747993,0.9944444444444444,0.9722222222222222,0.05555555555555551
wine_binary,logistic_regression,0.0,0.1,full,0.9444444444444444,0.06514466333088094,1.0166666666666666,0.9388888888888889,0.04444444444444442
wine_binary,logistic_regression,0.0,0.2,full,0.9055555555555556,0.08695819912499178,1.0,0.9277777777777778,0.005555555555555536
wine_binary,logistic_regression,0.0,0.3,full,0.9277777777777778,0.050460839234958144,1.1777777777777776,0.861111111111111,0.027777777777777745
wine_binary,logistic_regression,0.1,0.0,full,0.9444444444444444,0.05196746370519361,0.9777777777777776,0.961111111111111,0.04444444444444442
wine_binary,logistic_regression,0.2,0.0,full,0.9388888888888889,0.0534316223935315,0.9833333333333334,0.961111111111111,0.03888888888888886
wine_binary,logistic_regression,0.5,0.0,full,0.8944444444444445,0.07190099503080433,0.95,0.9388888888888889,-0.00555555555555558
wine_binary,logistic_regression,1.0,0.0,full,0.8555555555555555,0.11006451531199415,0.9833333333333334,0.8944444444444445,-0.04444444444444447
wine_binary,random_forest,0.0,0.0,100,0.9222222222222222,0.03621779114001475,0.9333333333333332,0.9666666666666666,0.022222222222222164
wine_binary,random_forest,0.0,0.0,500,0.9111111111111111,0.0633430791721743,0.9222222222222222,0.9666666666666666,0.011111111111111094
wine_binary,random_forest,0.0,0.0,1000,0.9111111111111111,0.0633430791721743,0.9222222222222222,0.9666666666666666,0.011111111111111094
wine_binary,random_forest,0.0,0.0,full,0.9111111111111111,0.05864429587908306,0.9222222222222223,0.9666666666666667,0.011111111111111094
wine_binary,random_forest,0.0,0.1,full,0.9555555555555555,0.03726779962499651,0.9777777777777779,0.961111111111111,0.05555555555555551
wine_binary,random_forest,0.0,0.2,full,0.9277777777777778,0.06394924685122966,0.9833333333333334,0.9333333333333332,0.027777777777777745
wine_binary,random_forest,0.0,0.3,full,0.9,0.06972166887783963,1.0722222222222222,0.888888888888889,-4.4408920985006264e-17
wine_binary,random_forest,0.1,0.0,full,0.9055555555555556,0.07243558228002941,0.9166666666666666,0.9666666666666666,0.005555555555555536
wine_binary,random_forest,0.2,0.0,full,0.8944444444444445,0.0865133972355413,0.9111111111111111,0.9666666666666666,-0.00555555555555558
wine_binary,random_forest,0.5,0.0,full,0.861111111111111,0.09212846639876109,0.8833333333333332,0.9444444444444444,-0.03888888888888893
wine_binary,random_forest,1.0,0.0,full,0.7277777777777777,0.12012082394688696,0.7722222222222223,0.8666666666666668,-0.17222222222222225
